epoch,phase,train_loss,val_loss,train_loss_classifier,train_loss_box_reg,train_loss_mask,train_loss_objectness,train_loss_rpn_box_reg,val_loss_classifier,val_loss_box_reg,val_loss_mask,val_loss_objectness,val_loss_rpn_box_reg
1,head_only,1.756497283012439,1.3021405696868897,0.42105120248519456,0.3748199411978324,0.7336053458543924,0.1898646861469994,0.03715610947125615,0.31367124766111376,0.32283267229795454,0.5687207967042923,0.07238502725958824,0.024530843552201986
2,head_only,1.2687362279647436,1.2324597358703613,0.32879127733982527,0.3456922528835443,0.46714301865834457,0.09268603574198025,0.03442364411715131,0.2957341879606247,0.308893458545208,0.5354860484600067,0.06883624829351902,0.02350978320464492
3,head_only,1.1791832034404461,1.1944702684879303,0.3056400017096446,0.3175434172153473,0.43989747380599,0.08294109150003164,0.03316122019747033,0.2848161518573761,0.2883725680410862,0.5271090626716614,0.07160763796418905,0.02256487077102065
4,full_finetune,1.132868488629659,1.1694635093212127,0.29689154879022867,0.30125522976502395,0.430683087462034,0.07291180583146903,0.031126822828530118,0.2860385850071907,0.2907246433198452,0.4997815012931824,0.07057882379740477,0.022339971736073494
5,full_finetune,1.0771720692133293,1.148528903722763,0.2928194487706209,0.2842517899206051,0.40937666786022675,0.06092479977255257,0.029799374408470705,0.28570824712514875,0.28636196479201315,0.49801387786865237,0.05560074951499701,0.022844073292799295
6,full_finetune,1.0462639843806243,1.126899778842926,0.28641364350914955,0.27149576894365823,0.39951408826387846,0.06068067097415527,0.028159814021096397,0.2837636172771454,0.27697966769337656,0.48733345568180086,0.0559519175440073,0.022871130262501538
7,full_finetune,1.011989631713965,1.0946383357048035,0.27661390306475836,0.26320023911121565,0.3883099953333537,0.05707565113567771,0.026789838158621047,0.26894973441958425,0.2646128982305527,0.48300608396530154,0.05549931675195694,0.022570285969413816
8,full_finetune,0.9946814844241509,1.1148062109947205,0.2742078996812686,0.2596095596941618,0.38300231595834094,0.05151634930800169,0.026345361322642136,0.28874571323394777,0.2732731357216835,0.48247079849243163,0.04790511205792427,0.022411463130265475
9,full_finetune,0.9812593295788153,1.1044804275035858,0.2698383097274181,0.2604449450587615,0.37805244154655016,0.04724317747287643,0.02568046944603945,0.27718291282653806,0.2681682057678699,0.48289338052272796,0.0539418525993824,0.022294063167646528
10,full_finetune,0.94855696727068,1.08328737616539,0.26311445465454686,0.2492146594211077,0.3660085510749083,0.045506177541728206,0.02471311774271994,0.2646654434502125,0.26841641664505006,0.47702551186084746,0.05124254422262311,0.02193744955584407
11,full_finetune,0.9447589004651095,1.0978124976158141,0.2580820493973218,0.24586879079922652,0.37181458755945546,0.04486409036848599,0.024129378346678537,0.27596622705459595,0.2674311675131321,0.48069389164447784,0.05200628945603967,0.02171489370521158
12,full_finetune,0.9342197737632654,1.0783316373825074,0.2541319234057879,0.24635217868937895,0.36745027529123503,0.04288800993265632,0.02339738870684344,0.2724363073706627,0.2612833872437477,0.47510622143745423,0.04800021573901177,0.02150548582430929
13,full_finetune,0.9142824147756283,1.0735351324081421,0.2516779061884452,0.2392633662869533,0.35882483709316987,0.04148419978670203,0.023032099483176492,0.26022109761834145,0.26002704054117204,0.4822975307703018,0.04929751753807068,0.021691927895881237
14,full_finetune,0.9123439773535117,1.0753688573837281,0.25236977455325615,0.24278312486906847,0.357293182458633,0.03733393548725125,0.02256395593763162,0.2646495312452316,0.25826288387179375,0.48207526504993437,0.04913612399250269,0.021245091501623393
15,full_finetune,0.8931765709167871,1.0868027925491333,0.24378326602089098,0.2353831840058168,0.3536001571860069,0.03840220332718813,0.022007769433399424,0.2760128639638424,0.265599237382412,0.47693750262260437,0.04706581104546785,0.021187375648878515
16,full_finetune,0.8804991398102198,1.0706569135189057,0.2434032249909181,0.23355469709405532,0.3471708870851077,0.03481210619569398,0.021558221196755767,0.2675167091190815,0.2606807850301266,0.4782630443572998,0.04325406113639474,0.020942330220714213
17,full_finetune,0.8749326184774057,1.0922207057476043,0.23630863160659105,0.23247362128817117,0.34634127353246397,0.037954394156352066,0.02185470342504768,0.27968782037496565,0.2580314867198467,0.48394045829772947,0.04951771209016442,0.021043236134573817
18,full_finetune,0.863211758243732,1.0663964867591857,0.23365260421847686,0.23120745433828768,0.3410619715085396,0.03639586008368777,0.020893868046979874,0.26294965147972105,0.26237163990736007,0.47616864144802096,0.04403576268814504,0.020870774611830713
19,full_finetune,0.8531918670886602,1.0732056498527527,0.22927369760015073,0.22732186623108694,0.3414130963576146,0.03463287724970052,0.02055032425918258,0.2662898160517216,0.2636302120983601,0.47655347883701327,0.046005033701658246,0.0207271009683609
20,full_finetune,0.8507888874946496,1.073940235376358,0.23000257070630026,0.22660043358038634,0.34062859167655307,0.033101100623846434,0.020456188488214348,0.2593848042190075,0.2605381414294243,0.48477545380592346,0.04847002131864429,0.02077184447553009
