epoch,phase,train_loss,val_loss,train_loss_classifier,train_loss_box_reg,train_loss_mask,train_loss_objectness,train_loss_rpn_box_reg,val_loss_classifier,val_loss_box_reg,val_loss_mask,val_loss_objectness,val_loss_rpn_box_reg
1,head_only,1.621290345222522,1.242738914489746,0.4388305455064162,0.36763040692760396,0.6186806953106171,0.15875510561268014,0.03739360655443026,0.30221289992332456,0.3159357950091362,0.5275992631912232,0.07418352207168936,0.02280745832249522
2,head_only,1.1832836018158839,1.1943233549594878,0.3113763752656105,0.32099596387109697,0.44143081399110645,0.07673057930496259,0.03274987806948141,0.293465393781662,0.29463462308049204,0.5180683225393296,0.0653282712213695,0.02282675658352673
3,head_only,1.1195139082578511,1.1685738384723663,0.2964860115868923,0.2872655587032055,0.42982920431173766,0.07312459317155373,0.0328085370725976,0.2862859323620796,0.2846625201404095,0.5115647077560425,0.06303964778780938,0.023021018132567406
4,full_finetune,1.0653045292084034,1.149206852912903,0.28772585571576387,0.27308775880971015,0.41035181742448074,0.06402713886629312,0.03011196063986669,0.2825871407985687,0.2830714076757431,0.501177966594696,0.059180857799947265,0.023189467284828423
5,full_finetune,1.0259854449675634,1.1280578434467317,0.27980593954905486,0.2614457441541629,0.3951124111429239,0.060879927821075305,0.028741409052879766,0.2809222131967545,0.27554729133844375,0.4891194999217987,0.05972597002983093,0.022742865257896483
