epoch,phase,train_loss,val_loss,train_loss_classifier,train_loss_box_reg,train_loss_mask,train_loss_objectness,train_loss_rpn_box_reg,val_loss_classifier,val_loss_box_reg,val_loss_mask,val_loss_objectness,val_loss_rpn_box_reg
1,head_only,1.4332024768475564,1.1777693033218384,0.3615996113707942,0.3465492650746338,0.5674501636335927,0.12186133321599975,0.035742109023304956,0.2770995623187015,0.28299894850505025,0.5271548393525576,0.06781235491660864,0.022703579945587797
2,head_only,1.1274043727305627,1.1305957091482062,0.30124957554282683,0.28672725280686734,0.4401191166331691,0.06648063697972365,0.03282778825190279,0.27009083173776927,0.2764318867733604,0.5036705324524328,0.05808605844351022,0.02231639691040312
3,head_only,1.0676619537415044,1.1566824473832782,0.27922270206674454,0.26893987337187414,0.4256305988757841,0.0632425379563844,0.030626242103115205,0.27106839222343343,0.2688344922897063,0.5366187228968269,0.056792841636036574,0.0233679992195807
4,full_finetune,1.0335837235373835,1.110311304268084,0.276598732942535,0.25714779696877926,0.41112116709832225,0.060165348155574214,0.028550675071986213,0.26243818355234044,0.2625027385197188,0.5109333599868574,0.05198233653055994,0.022454675813940794
5,full_finetune,1.0037421801397877,1.071712464094162,0.26756209267243264,0.2578389954542921,0.4015556369097002,0.050602769312418756,0.026182683647399948,0.2633623253358038,0.257814695960597,0.48406266068157394,0.044455402922865594,0.022017379389389566
